,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
255,The Concise 48 Laws Of Power,Robert Greene,13,6,2002,Paperback,9.94,15.5
256,Attack On Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,7,2,2020,Paperback,39.47,43.96
257,Chapter House Dune,Frank Herbert,28,1,2021,Paperback,17.07,17.07
258,Heartstopper Volume One,Alice Oseman,10,4,2019,Paperback,16.97,16.97
259,Tomie: Complete Deluxe Edition,Junji Ito,20,12,2016,Hardback,34.44,34.99
260,Superworm,Julia Donaldson,7,7,2016,Paperback,15.49,15.49
261,The Light Seer's Tarot,Chris-Anne,3,12,2019,Cards,22.42,24.99
262,Five Love Languages Revised Edition,Gary Chapman,26,3,2015,Paperback,13.73,15.99
263,Show Your Work!,Austin Kleon,11,3,2014,Paperback,13.06,13.06
264,You and Me on Vacation,Emily Henry,22,7,2021,Paperback,11.33,11.33
265,Norwegian Wood,Haruki Murakami,4,7,2003,Paperback,17.07,27.75
266,The Subtle Art of Not Giving a F*ck,Mark Manson,17,11,2016,Hardback,21.56,26.99
267,The Subtle Art of Not Giving a F*Ck,Mark Manson,13,9,2017,Paperback,18.07,18.99
268,Una corte de llamas plateadas,Sarah J. Maas,10,11,2021,Paperback,17.82,19.87
269,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,14,10,2021,Paperback,8.94,9.99
270,The Little Prince,Antoine de Saint-Exupery,1,1,1998,Paperback,5.15,5.15
271,Call Me By Your Name,Andre Aciman,21,12,2017,Paperback,15.81,15.81
272,Scattered Minds,Dr Gabor Mate,3,1,2019,Paperback,14.12,15.1
274,Berserk Deluxe Volume 5,Kentaro Miura,26,7,2020,Hardback,59.96,59.96
275,American Dirt,Jeanine Cummins,18,2,2021,Paperback,15.95,15.95
276,Meditations,Marcus Aurelius,6,2,2019,Paperback,12.48,12.48
277,The Rabbit Listened,Cori Doerrfeld,20,2,2018,Hardback,19.9,19.9
278,A Court of Frost and Starlight,Sarah J. Maas,5,6,2020,Paperback,13.1,13.1
279,The 13-Storey Treehouse,Andy Griffiths,20,3,2015,Paperback,6.6,9.6
280,On Writing,Stephen King,1,9,2020,Paperback,17.05,19.75
281,Look Inside Space,Rob Lloyd Jones,29,11,2012,Board book,15.98,15.98
282,Humankind,Rutger Bregman,13,5,2021,Paperback,14.26,14.26
283,Mythos,Stephen Fry,26,7,2018,Paperback,13.97,13.97
284,"The Case Study of Vanitas, Vol. 3",Jun Mochizuki,14,11,2017,Paperback,12.47,13.0
285,The Outsiders,S E Hinton,4,8,2016,Paperback,10.34,10.98
286,Hear Yourself,Prem Rawat,30,9,2021,Hardback,23.73,26.99
287,The Intelligent Investor,Benjamin Graham,23,10,2003,Paperback,23.31,24.99
288,The Only Study Guide You'll Ever Need,Jade Bowler,5,8,2021,Paperback,16.1,20.59
289,Ikigai,Héctor García,7,9,2017,Hardback,19.45,19.45
290,Ottolenghi SIMPLE,Yotam Ottolenghi,6,9,2018,Hardback,36.97,36.97
291,My Year of Rest and Relaxation,Ottessa Moshfegh,2,5,2019,Paperback,14.54,14.54
292,Attack On Titan Season 1 Part 2 Manga Box Set,Hajime Isayama,25,6,2018,Paperback,40.83,43.96
293,Milk and Honey,Rupi Kaur,8,7,2016,Paperback,11.78,14.99
294,Look Inside Things That Go,Rob Lloyd Jones,1,11,2013,Board book,17.08,17.08
295,The Priory of the Orange Tree,Samantha Shannon,6,2,2020,Paperback,17.51,17.51
296,The Salt Path,Raynor Winn,31,1,2019,Paperback,12.68,13.72
297,Angel Answers Oracle Cards,Radleigh Valentine,9,11,2020,Cards,16.27,19.99
298,The Girl Who Never Made Mistakes,Gary Rubinstein,4,11,2011,Hardback,18.03,18.03
299,Secrets of Natural Success,William Whitecloud,12,7,2019,Paperback,25.18,25.18
300,Mr Men Little Miss Advent Calendar,Adam Hargreave,14,10,2021,Hardback,24.58,27.46
301,Why We Sleep,Matthew Walker,31,10,2018,Paperback,18.91,18.91
302,Roald Dahl's Marvellous Joke Book,Roald Dahl,6,9,2012,Paperback,8.2,8.2
303,Meditations,Marcus Aurelius,17,11,2015,Paperback,10.12,11.0
304,All the Light We Cannot See,Anthony Doerr,1,5,2015,Paperback,14.11,14.11
305,Talk To Me In Korean Level 1 (downloadable Audio Files Included),Talktomeinkorean Talktomeinkorean,28,12,2015,Paperback,17.88,24.99
306,This Book Is for You,Worry Lines,12,10,2021,Hardback,17.62,17.62
307,"Demon Slayer: Kimetsu no Yaiba, Vol. 23",Koyoharu Gotouge,30,9,2021,Paperback,9.93,9.99
308,Funkytown,Paul Kennedy,28,9,2021,Paperback,21.47,23.99
309,Never Split the Difference,Chris Voss,23,3,2017,Paperback,15.44,15.44
310,Capitalist Realism - Is there no alternative?,Mark Fisher,9,12,2013,Paperback,13.89,14.95
311,In the Realm of Hungry Ghosts,Dr Gabor Mate,4,10,2018,Paperback,15.67,15.67
312,The Obstacle is the Way,Ryan Holiday,31,10,2018,Paperback,11.17,13.72
313,The Goal,Elle Kennedy,26,9,2016,Paperback,14.94,15.0
314,Disney Princess Storybook Collection: Advent Calendar,,1,10,2021,Hardback,35.43,35.43
315,Tarot of Mystical Moments,Catrin Welz-Stein,1,4,2021,Hardback,25.4,25.95
316,Med,Claudia Roden,2,9,2021,Hardback,40.9,40.9
317,The Seven Sisters,Lucinda Riley,1,11,2018,Paperback,15.72,15.72
318,Shadow and Bone: Siege and Storm,Leigh Bardugo,28,6,2018,Paperback,13.87,13.87
319,To Kill a Kingdom,Alexandra Christo,6,3,2018,Paperback,14.28,14.28
320,A Man Called Ove,Fredrik Backman,7,5,2015,Paperback,9.86,12.35
321,"My Hero Academia, Vol. 2",Kohei Horikoshi,19,11,2015,Paperback,15.29,15.29
322,Circe,Madeline Miller,19,4,2018,Hardback,25.25,25.25
323,Peter Darling,Austin Chant,1,6,2021,Paperback,13.34,13.34
324,The Wonky Donkey,Craig Smith,30,11,2018,Paperback,7.79,7.79
325,The Mamba Mentality: How I Play,Kobe Bryant,28,2,2020,Hardback,33.1,35.0
326,A Gentleman in Moscow,Amor Towles,2,11,2017,Paperback,14.88,14.88
327,"Influence, New and Expanded UK","Robert B Cialdini, PhD",13,5,2021,Paperback,21.86,21.86
328,"One Piece, Vol. 97",Eiichiro Oda,28,10,2021,Paperback,9.79,9.99
329,Story Of My Home: The Art of Home,The Story Of My Home Team,16,9,2021,Hardback,22.52,22.52
330,Burnout,Gordon Parker,2,7,2021,Paperback,33.87,33.87
331,Ethereal Visions,Matt Hughes,1,10,2018,Cards,20.58,23.95
333,It Ends with Us,Colleen Hoover,2,8,2016,Paperback,16.23,16.99
334,November 9,Colleen Hoover,11,11,2015,Paperback,12.27,13.5
335,Red Queen,Victoria Aveyard,16,7,2015,Paperback,14.11,14.11
336,We Hunt the Flame,Hafsah Faizal,29,6,2021,Paperback,14.06,14.06
337,You Can Heal Your Life,Louise Hay,1,7,2004,Paperback,13.81,15.99
338,Leaders Eat Last,Simon Sinek,12,7,2017,Paperback,16.03,16.03
339,House of Leaves,Mark Z. Danielewski,7,3,2000,Paperback,28.81,28.81
340,Josh and Hazel's Guide to Not Dating,Christina Lauren,8,8,2019,Paperback,9.95,12.35
341,Plantyou,Carleigh Bodrug,18,1,2022,Hardback,26.85,30.0
342,Live No Lies,John Mark Comer,28,9,2021,Hardback,20.78,23.34
343,The Very Hungry Caterpillar: Little Learning Library,Eric Carle,10,1,2011,Board book,9.8,11.0
344,How to Win Friends and Influence People,Dale Carnegie,16,8,2010,Paperback,9.67,9.67
345,"Hunt, Gather, Parent",Michaeleen Doucleff,4,3,2021,Paperback,21.04,21.04
346,The 7 Habits of Highly Effective People,Stephen R Covey,19,5,2020,Paperback,17.64,18.99
347,Nonviolent Communication 3rd Ed,Rosenberg M,28,12,2015,Paperback,19.74,19.95
348,How to Talk so Kids Will Listen and Listen so Kids Will Talk,Adele Faber,5,12,2012,Paperback,17.48,29.25
349,Malibu Rising,Taylor Jenkins Reid,1,6,2021,Paperback,18.34,18.34
350,The Colour Monster,,1,3,2016,Paperback,16.37,16.37
351,The Mistake,Elle Kennedy,28,4,2015,Paperback,14.36,15.0
352,Project Hail Mary,Andy Weir,4,5,2021,Paperback,21.1,23.99
353,Shadow and Bone: Now a Netflix Original Series,Leigh Bardugo,28,6,2018,Paperback,14.0,14.0
354,King of Scars,Leigh Bardugo,5,3,2020,Paperback,15.13,15.13
355,The Green Witch,Arin Murphy-Hiscock,19,10,2017,Hardback,16.49,17.99
356,Diary of an Oxygen Thief,Anonymous,25,8,2016,Paperback,15.28,15.28
357,Shoe Dog,Phil Knight,3,5,2018,Paperback,12.44,13.72
358,Ten Little Fingers and Ten Little Toes,Mem Fox,7,2,2011,Board book,10.54,11.0
359,The High 5 Habit,Mel Robbins,28,9,2021,Paperback,17.56,19.62
360,Love You Forever,Robert Munsch,1,9,1995,Paperback,6.73,6.73
361,Zero to One,Blake Masters,31,10,2018,Paperback,13.26,13.49
362,Troubled Blood,Robert Galbraith,24,6,2021,Paperback,15.92,15.92
363,Wonder,R. J. Palacio,23,1,2013,Paperback,14.88,18.0
364,The Hobbit and the Lord of the Rings,J. R. R. Tolkien,21,10,2014,Paperback,55.96,59.99
365,The Gruffalo's Child,Julia Donaldson,1,3,2007,Paperback,8.6,8.6
366,The Dinosaur's Diary,Julia Donaldson,28,3,2002,Paperback,7.65,8.23
367,"Toilet-bound Hanako-kun, Vol. 1",Aidalro,28,1,2020,Paperback,12.07,13.0
368,"Jujutsu Kaisen, Vol. 12",Gege Akutami,28,10,2021,Paperback,8.94,9.99
369,Convenience Store Woman,Sayaka Murata,5,8,2019,Paperback,14.11,14.11
370,Neon Gods,Katee Robert,1,6,2021,Paperback,24.56,24.56
371,Blue Period 2,Tsubasa Yamaguchi,5,1,2021,Paperback,12.12,12.99
372,Attack on Titan 34,Hajime Isayama,19,10,2021,Paperback,10.01,10.99
373,Providence Compendium,Alan Moore,14,9,2021,Paperback,32.14,32.14
374,Spin the Dawn,Elizabeth Lim,4,3,2021,Paperback,15.9,15.9
375,Billy Summers,Stephen King,3,8,2021,Hardback,23.61,27.48
376,Harry Potter and the Chamber of Secrets: MinaLima Edition,J.K. Rowling,26,10,2021,Hardback,39.35,43.96
377,Rule of Wolves (King of Scars Book 2),Leigh Bardugo,30,3,2021,Hardback,24.68,24.68
378,Berserk Deluxe Volume 9,Kentaro Miura,9,11,2021,Hardback,44.74,49.99
379,The Wrath and the Dawn,Renee Ahdieh,6,4,2017,Paperback,14.16,14.16
380,Press Here,Herve Tullet,19,2,2019,Board book,10.46,10.46
381,solanin,Inio Asano,19,4,2018,Paperback,17.82,17.99
382,Harry Potter and the Philosopher's Stone,J.K. Rowling,1,9,2014,Paperback,16.12,16.12
383,Lost Connections,Johann Hari,11,1,2019,Paperback,14.84,15.1
384,Once Upon a Time in Hollywood,Quentin Tarantino,29,6,2021,Paperback,9.8,12.35
385,The Prince,Niccolo Machiavelli,2,1,2000,Paperback,3.42,3.42
386,Holes,Louis Sachar,30,9,2011,Paperback,8.94,8.99
387,The Huge Bag of Worries,Virginia Ironside,6,1,2011,Paperback,12.37,12.37
388,Stuck,Oliver Jeffers,1,5,2012,Paperback,15.34,15.5
390,Women Don't Owe You Pretty,Florence Given,9,9,2021,Paperback,7.76,10.98
391,Dinosaurs Love Underpants,Claire Freedman,5,6,2008,Paperback,12.83,12.83
392,The Overstory,Richard Powers,1,7,2019,Paperback,18.29,18.29
393,"Richer, Wiser, Happier",William Green,29,4,2021,Paperback,21.53,21.53
394,Our Dreams at Dusk: Shimanami Tasogare Vol. 4,Yuhki Kamatani,17,12,2019,Paperback,13.17,13.17
395,The Storm Sister,Lucinda Riley,21,3,2019,Paperback,18.8,18.8
396,Harry Potter and the Philosopher's Stone: MinaLima Edition,J.K. Rowling,27,3,2021,Hardback,39.62,41.21
397,The Real Anthony Fauci,Robert F. Kennedy Jr.,9,11,2021,Hardback,24.16,26.99
398,Heartstopper Volume Two,Alice Oseman,20,12,2019,Paperback,16.53,16.53
399,"Hunter x Hunter, Vol. 5",Yoshihiro Togashi,22,9,2016,Paperback,10.31,10.31
400,Stick Man,Julia Donaldson,26,11,2016,Paperback,11.68,11.68
401,Troy,Stephen Fry,22,7,2021,Paperback,13.8,13.8
402,And Away...,Bob Mortimer,16,9,2021,Hardback,23.75,27.48
403,Press Here,Herve Tullet,1,4,2011,Hardback,16.16,16.16
404,The Barefoot Investor,Scott Pape,1,7,2018,Paperback,18.15,21.0
405,The Underground Railroad,Colson Whitehead,29,6,2017,Paperback,13.99,13.99
406,Tarot of the Divine,Yoshi Yoshitani,30,11,2020,Cards,19.95,19.99
407,Quiet,Susan Cain,31,10,2018,Paperback,13.08,20.25
408,Educated,Tara Westover,27,11,2018,Paperback,13.37,13.72
409,Flow,Mihaly Csikszentmihalyi,24,6,2011,Paperback,9.92,16.99
410,"Asesino de Brujas - Vol. 3. La Doncella, La Bruja Y La Arpia",Shelby Mahurin,26,10,2021,Paperback,17.23,18.95
411,"Solo Leveling, Vol. 3 (Manga)",Chugong,19,10,2021,Paperback,17.9,20.0
412,The War of Art,Steven Pressfield,11,1,2012,Paperback,16.79,16.79
413,The Secret,Rhonda Byrne,4,12,2006,Hardback,20.07,26.75
414,The Happiness Trap,Russ Harris,26,6,2008,Paperback,17.39,17.39
415,My New Baby,,1,2,2010,Board book,10.17,10.17
416,The Dot,Peter H. Reynolds,4,10,2004,Paperback,12.07,12.07
417,Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Yasmin Boland,27,7,2021,Paperback,15.47,16.99
418,Judgement Detox,Gabrielle Bernstein,2,1,2018,Paperback,20.93,20.93
419,Dare to Lead,Brené Brown,17,12,2018,Paperback,20.65,20.65
420,Ottolenghi FLAVOUR,Yotam Ottolenghi,10,9,2020,Hardback,38.3,38.3
421,The Score,Elle Kennedy,11,1,2016,Paperback,14.98,15.0
422,The Hero with a Thousand Faces,Joseph Campbell,1,2,2016,Hardback,22.29,24.95
423,King of Scars,Leigh Bardugo,29,1,2019,Hardback,19.75,20.59
424,Born A Crime,Trevor Noah,21,9,2017,Paperback,13.04,13.72
425,"Haikyu!!, Vol. 6",Haruichi Furudate,15,12,2016,Paperback,10.31,10.31
426,"Good Girl, Bad Blood",Holly Jackson,1,5,2020,Paperback,13.97,13.97
427,The Soulmate Equation,Christina Lauren,5,8,2021,Paperback,14.12,14.12
428,Greg the Sausage Roll: Santa's Little Helper,Mark Hoyle,11,11,2021,Hardback,14.76,15.1
429,Together,Jamie Oliver,2,9,2021,Hardback,37.69,37.69
430,A New Earth,Eckhart Tolle,1,3,2009,Paperback,18.7,19.75
431,Brave New World,Aldous Huxley,2,9,2004,Paperback,11.05,11.05
432,The 4-Hour Work Week,Timothy Ferriss,12,6,2013,Paperback,18.86,18.86
433,Shatter Me,Tahereh Mafi,9,1,2018,Paperback,12.54,12.54
434,I'm a Big Sister,Joanna Cole,1,4,2010,Hardback,8.33,8.33
435,River Kings,Cat Jarman,2,9,2021,Paperback,13.77,13.77
436,The One and Only Ivan,Katherine Applegate,1,10,2017,Paperback,15.74,15.74
437,Life Force,Louise Fletcher,7,10,2021,Hardback,44.75,50.0
438,How To Talk So Little Kids Will Listen,Joanna Faber,26,1,2017,Paperback,16.87,17.85
439,The Tattooist of Auschwitz,Heather Morris,18,10,2018,Paperback,9.9,12.35
440,Work Your Light Oracle Cards,Rebecca Campbell,9,11,2020,Cards,17.61,21.99
441,Twisted Tales: Enchanted Collection (Disney),,1,8,2021,Paperback,62.09,79.98
442,$100M Offers,Alex Hormozi,13,7,2021,Hardback,25.75,25.75
443,Wotakoi: Love Is Hard for Otaku 5,Fujita,5,10,2021,Paperback,16.1,17.99
444,Last Night at the Telegraph Club,Malinda Lo,18,3,2021,Paperback,15.66,15.66
445,Monkey Puzzle,Julia Donaldson,13,9,2016,Paperback,11.03,12.25
446,Small Pleasures,Clare Chambers,29,4,2021,Paperback,10.21,12.35
447,"Fire Punch, Vol. 4",Tatsuki Fujimoto,1,11,2018,Paperback,17.36,17.36
448,Peppa Pig: Little Library,Peppa Pig,16,6,2011,Board book,9.34,9.34
449,Harry Potter Box Set: The Complete Collection (Children's Paperback),J.K. Rowling,1,12,2020,Paperback,93.36,259.95
450,The The Wild Beyond the Witchlight: Dungeons & Dragons,Wizards RPG Team,21,9,2021,Hardback,42.02,49.95
451,Meditations,Marcus Aurelius,21,11,2012,Paperback,5.96,9.48
452,The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,8,7,2021,Paperback,14.97,14.97
453,Where Is Baby's Belly Button?,Karen Katz,26,2,2015,Board book,7.21,7.21
454,My Money My Way,Kumiko Love,1,2,2022,Hardback,23.27,26.0
455,Lord of the Flies,William Golding,15,7,2011,Paperback,9.68,11.0
456,Women Who Run with the Wolves,Clarissa Pinkola Estes,1,1,1997,Paperback,9.77,9.77
457,The Silence of the Girls,Pat Barker,18,7,2019,Paperback,13.7,13.7
458,The Magician,Colm Toibin,23,9,2021,Hardback,27.63,27.63
459,The Gruffalo,Julia Donaldson,2,3,2006,Paperback,8.35,8.35
460,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,4,7,2013,Paperback,19.06,19.06
461,Rock Paper Scissors,Alice Feeney,19,8,2021,Paperback,12.68,12.68
463,The Everyday Hero Manifesto,Robin Sharma,7,9,2021,Paperback,23.75,23.75
464,1984 Nineteen Eighty-Four,George Orwell,7,1,2021,Paperback,6.67,6.67
465,The Poppy War,R.F. Kuang,18,10,2018,Paperback,15.74,15.74
466,The Well Gardened Mind,Sue Stuart-Smith,29,4,2021,Paperback,17.18,17.18
467,We Should All Be Feminists,Chimamanda Ngozi Adichie,14,12,2015,Paperback,10.05,10.05
468,Moleskine Ltd. Ed. Peanuts 2022 18-Month Weekly Large Hardcover Notebook: Black,Moleskine,21,4,2021,Hardback,21.71,34.33
469,CALENDARIO 2022. CARLES DALMAU,CARLES DALMAU,2,9,2021,Calendar,17.23,17.54
470,Demon Slayer Complete Box Set,Koyoharu Gotouge,11,11,2021,Paperback,178.99,199.99
471,Between us,Ruby Dhal,31,10,2021,Paperback,13.42,14.99
472,The Wim Hof Method,Wim Hof,24,9,2020,Hardback,23.05,23.34
473,Women Who Run With The Wolves,Clarissa Pinkola Estes,7,2,2008,Paperback,19.16,20.55
474,Atlas of the Heart,Brene Brown,30,11,2021,Hardback,24.59,27.48
475,Reasons to Stay Alive,Matt Haig,7,1,2016,Paperback,15.33,15.33
476,The Proof is in the Plants,Simon Hill,1,11,2021,Paperback,35.09,35.09
477,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,25,6,2015,Paperback,18.13,18.95
478,The Art and Science of Teaching Primary Reading,Christopher Such,17,9,2021,Paperback,27.86,27.86
479,A Court of Mist and Fury,Sarah J. Maas,6,6,2020,Paperback,15.97,15.97
480,Heartstopper Volume Three,Alice Oseman,6,2,2020,Paperback,17.57,17.57
481,The Hate U Give,Angie Thomas,15,6,2017,Paperback,10.5,10.98
482,As Good As Dead,Holly Jackson,5,8,2021,Paperback,14.59,14.59
483,The Tarot of Curious Creatures,Chris-Anne,2,11,2021,Cards,19.34,26.99
484,Under the Whispering Door,Tj Klune,1,10,2021,Hardback,25.23,26.99
485,Beautiful Oops!,Barney Saltzberg,1,10,2010,Hardback,14.89,16.95
486,Just Kids,Patti Smith,4,1,2011,Paperback,13.33,14.01
487,Dr. Seuss's ABC,Dr. Seuss,26,11,1996,Board book,5.61,5.61
488,Be Here Now,Ram Dass,23,11,2015,Paperback,19.56,19.56
489,In Order To Live,Yeonmi Park,7,7,2016,Paperback,12.9,13.72
490,The Body Keeps the Score,Bessel van der Kolk,8,9,2015,Paperback,17.85,19.0
491,Gods & Monsters,Shelby Mahurin,1,8,2021,Paperback,14.55,14.55
492,Almond,Won-Pyung Sohn,22,7,2021,Paperback,15.47,16.99
493,The Nature of Middle-earth,J. R. R. Tolkien,2,9,2021,Hardback,33.11,34.35
494,Gangsta Granny,David Walliams,28,2,2013,Paperback,9.29,9.29
495,"Fist of the North Star, Vol. 2",Buronson,14,10,2021,Hardback,18.51,19.99
496,"My Hero Academia, Vol. 25",Kohei Horikoshi,29,10,2020,Paperback,20.44,20.44
497,"Mashle: Magic and Muscles, Vol. 1",Hajime Komoto,16,9,2021,Paperback,10.31,10.31
498,The Art of More,Michael Brooks,31,8,2021,Paperback,34.34,34.34
499,The 48 Laws Of Power,Robert Greene,20,11,2000,Paperback,26.83,26.83
500,A Woman to Blame,Nell McCafferty,1,6,2010,Paperback,13.93,13.93
501,The Dandy Annual 2022,,1,8,2021,Hardback,15.69,15.69
502,The Choice,Edith Eger,16,8,2018,Paperback,14.21,15.1
503,The Bear and The Nightingale,Katherine Arden,15,12,2017,Paperback,16.57,16.57
504,Hold on to Your Kids,Dr Gabor Mate,3,1,2019,Paperback,15.56,15.56
505,The Gulag Archipelago,Aleksandr Solzhenitsyn,1,11,2018,Paperback,20.01,20.59
506,Ego is the Enemy,Ryan Holiday,31,10,2018,Paperback,11.45,15.87
507,Wings of Fire 6-10 Boxed Set: the Jade Mountain Prophecy,"Tui,T Sutherland",1,11,2020,Paperback,42.08,43.62
508,A Shadow in the Ember,Jennifer L Armentrout,19,10,2021,Hardback,28.63,31.99
509,The Sweetest Oblivion,Danielle Lori,20,6,2018,Paperback,18.57,18.57
510,Wings of Fire 6-10 Boxed Set: the Jade Mountain Prophecy,"Tui,T Sutherland",1,11,2020,Paperback,42.08,43.62
